dia,S,I,R,D,R_eff
320,928576,4231,61120,6073,1.0012
321,928132,4236,61520,6112,1.0012
322,927680,4226,61939,6155,0.9976
323,927221,4219,62367,6193,0.9983
324,926768,4193,62794,6245,0.9938
325,926282,4194,63234,6290,1.0002
326,925794,4232,63641,6333,1.0091
327,925298,4251,64075,6376,1.0045
328,924843,4244,64506,6407,0.9984
329,924359,4240,64950,6451,0.9991
330,923884,4244,65374,6498,1.0009
331,923401,4303,65763,6533,1.0139
332,922937,4298,66187,6578,0.9988
333,922455,4316,66610,6619,1.0042
334,921980,4330,67022,6668,1.0032
335,921471,4368,67452,6709,1.0088
336,920970,4403,67880,6747,1.0080
337,920467,4399,68351,6783,0.9991
338,919948,4465,68765,6822,1.0150
339,919429,4464,69234,6873,0.9998
340,918947,4481,69657,6915,1.0038
341,918429,4493,70121,6957,1.0027
342,917942,4502,70542,7014,1.0020
343,917454,4443,71040,7063,0.9869
344,916933,4475,71483,7109,1.0072
345,916471,4430,71938,7161,0.9899
346,915983,4450,72366,7201,1.0045
347,915503,4445,72803,7249,0.9989
348,915010,4432,73273,7285,0.9971
349,914496,4431,73744,7329,0.9998
350,914013,4437,74178,7372,1.0014
351,913537,4448,74602,7413,1.0025
352,913036,4462,75037,7465,1.0031
353,912531,4512,75455,7502,1.0112
354,912038,4500,75917,7545,0.9973
355,911543,4527,76342,7588,1.0060
356,911020,4574,76773,7633,1.0104
357,910492,4602,77232,7674,1.0061
358,909946,4625,77700,7729,1.0050
359,909450,4571,78200,7779,0.9883
360,908951,4590,78637,7822,1.0042
361,908402,4621,79112,7865,1.0068
362,907872,4674,79548,7906,1.0115
363,907338,4712,79997,7953,1.0081
364,906880,4660,80462,7998,0.9890
